id,zizum_name,sido,sigungu,sangse_juso,phone_number,image,restaurant_id,restaurant_name,created_at,updated_at,explain
1,선정릉역딜리버리,서울특별시,강남구,봉은사로 328,02-555-9389 ,,1,서브웨이,,,
2,천호딜리버리,서울특별시,강동구,올림픽로 664,02-485-1077,,1,서브웨이,,,
3,미아역딜리버리,서울특별시,강북구,도봉로 209,02-946-1596,,1,서브웨이,,,
4,화곡역딜리버리,서울특별시,강서구,강서로 159-1,02-260-3535,,1,서브웨이,,,
5,신림역딜리버리,서울특별시,관악구,신림로 344 SK허브그린,02-888-4455,,1,서브웨이,,,
6,광장딜리버리,서울특별시,광진구,아차산로 480,02-455-2224,,1,서브웨이,,,
7,동양미래대딜리버리,서울특별시,구로구,경인로 445 동양미래대 8호관,02-2686-6890,,1,서브웨이,,,
8,독산딜리버리,서울특별시,금천구,시흥대로 399 1층 112호,02-803-2346,,1,서브웨이,,,
9,광운대역딜리버리,서울특별시,노원구,광운로 57,02-942-7779,,1,서브웨이,,,
10,창동역딜리버리,서울특별시,도봉구,마들로11길 61,02-903-6363,,1,서브웨이,,,
11,경희대딜리버리,서울특별시,동대문구,경희대로4길 6,02-957-1589,,1,서브웨이,,,
12,보라매딜리버리,서울특별시,동작구,보라매로3길 29 해태보라매타워,02-832-2522,,1,서브웨이,,,
13,합정역메세나폴리스딜리버리,서울특별시,마포구,양화로 45 메세나폴리스,02-384-9890,,1,서브웨이,,,
14,신촌딜리버리,서울특별시,서대문구,신촌로 121 아남오피스텔,02-3147-1248,,1,서브웨이,,,
15,신논현역24시간,서울특별시,서초구,강남대로 499 딜리버리,02-544-1014,,1,서브웨이,,,
16,서울숲딜리버리,서울특별시,성동구,왕십리로 108-1,02-499-2900,,1,서브웨이,,,
17,국민대학교딜리버리,서울특별시,성북구,정릉로 77,02-910-6895,,1,서브웨이,,,
18,문정법조딜리버리,서울특별시,송파구,충민로 5 송파한화오벨리스크,02-403-7344,,1,서브웨이,,,
19,양천구청딜리버리,서울특별시,양천구,목동서로 349 센트럴프라자,02-2652-2521,,1,서브웨이,,,
20,영등포딜리버리,서울특별시,영등포구,영중로 25,02-2635-5255,,1,서브웨이,,,
21,용산아이파크몰딜리버리,서울특별시,용산구,한강대로23길 55 아이파크몰 서관 4층,02-2012-0406,,1,서브웨이,,,
