id,zizum_name,sido,sigungu,sangse_juso,phone_number,image,restaurant_id,restaurant_name,created_at,updated_at
1,제주대점딜리버리,제주특별자치시,제주시,아라2동 34-13,Coming Soon,,1,서브웨이,2019-01-22 04:34:30.499684,2019-01-22 04:34:30.499684
2,선유도역점딜리버리,서울특별시,영등포구,양평동4가 101-10,02-2632-1232,,1,서브웨이,2019-01-22 04:34:30.565478,2019-01-22 04:34:30.565478
3,대구칠곡3지구딜리버리,대구광역시,북구,"학정로 422, 1층",070-4246-5154,,1,서브웨이,2019-01-22 04:34:30.630706,2019-01-22 04:34:30.630706
4,광주전남대후문딜리버리,광주광역시,북구,"우치로 124, 1층",062-452-1121,,1,서브웨이,2019-01-22 04:34:30.688914,2019-01-22 04:34:30.688914
5,부산반여점딜리버리,부산광역시,해운대구,선수촌로 78,051-783-6384,,1,서브웨이,2019-01-22 04:34:30.753050,2019-01-22 04:34:30.753050
6,대구상인역딜리버리,대구광역시,달서구,월배로 222,053-643-0013,,1,서브웨이,2019-01-22 04:34:30.833554,2019-01-22 04:34:30.833554
7,평택비전딜리버리,경기도,평택시,비전5로 15,031-652-6777,,1,서브웨이,2019-01-22 04:34:30.926238,2019-01-22 04:34:30.926238
8,잠실역딜리버리,서울특별시,송파구,올림픽로 293-19,02-2202-1300,,1,서브웨이,2019-01-22 04:34:31.209975,2019-01-22 04:34:31.209975
9,대구계대동문딜리버리,대구광역시,달서구,계대동문로 9,053-593-5050,,1,서브웨이,2019-01-22 04:34:31.301804,2019-01-22 04:34:31.301804
10,대구동성로2호딜리버리,대구광역시,중구,동성로 6길 42,053-253-7801,,1,서브웨이,2019-01-22 04:34:31.371044,2019-01-22 04:34:31.371044
11,인천길병원딜리버리,인천광역시,남동구,구월동 1140-4,070-8888-3277,,1,서브웨이,2019-01-22 04:34:31.681086,2019-01-22 04:34:31.681086
12,수원장안구청딜리버리,제주특별자치시,장안구,경수대로 927,031-244-8490,,1,서브웨이,2019-01-22 04:34:31.739169,2019-01-22 04:34:31.739169
13,수원홈플러스영통딜리버리,경기도,수원시,영통구 봉영로 1576,031-202-3633,,1,서브웨이,2019-01-22 04:34:31.803258,2019-01-22 04:34:31.803258
14,독립문딜리버리,서울특별시,종로구,교북동 35-10,02-730-8255,,1,서브웨이,2019-01-22 04:34:31.864525,2019-01-22 04:34:31.864525
15,가양역딜리버리,서울특별시,강서구,등촌동 717 그레이스힐,02-2668-6777,,1,서브웨이,2019-01-22 04:34:31.930558,2019-01-22 04:34:31.930558
16,양천향교역딜리버리,서울특별시,강서구,"마곡동 776-4외 1필지 엠코지니어스타 제에이동 109,110호",02-3662-6697,,1,서브웨이,2019-01-22 04:34:31.988000,2019-01-22 04:34:31.988000
17,부산서면동천로딜리버리,부산광역시,부산진구,동천로 71,051-817-1232,,1,서브웨이,2019-01-22 04:34:32.066593,2019-01-22 04:34:32.066593
18,동탄센트럴파크딜리버리,경기도,화성시,동탄지성로 117,031-8003-8825,,1,서브웨이,2019-01-22 04:34:32.147596,2019-01-22 04:34:32.147596
